prompt_id,domain,vagueness,text,char_len,word_count,dup_text_with,final_cov,n_turns,realistic,domain_unambiguous,vagueness_label_ok,taxonomy_covers_intent,oracle_consistent,edge_case_flag,reviewer_verdict,reviewer_note
N81,Payments,Medium,"I need a tipping system for my creator platform (like Twitch). Users tip in USD, the creator receives 85% after platform fees. Creators can withdraw instantly to their Stripe connected account, minimum $10 payout.",213,34,,0.8505,5,,,,,,,,
N82,Payments,Medium,"I want to trade gold futures (GC contract) automatically. Max 2 contracts at a time, stop loss at 0.5% per trade, take profit at 1.5%, max 3 trades per day. Only trade US session (14:30–21:00 UTC). Broker: Interactive Brokers.",226,39,,0.8318,3,,,,,,,,
N83,Payments,Medium,"I need a multi-currency business account. I receive payments in USD, GBP, EUR, and AED. I want to auto-convert everything to EUR at month-end at the best available rate. No conversion during weekends.",200,33,,0.8785,5,,,,,,,,
N84,Payments,Medium,"I want to run a staking-as-a-service product. Users deposit ETH, we stake with validators via Lido, charge a 10% fee on staking rewards, and send weekly payouts to users automatically. Minimum deposit: 0.1 ETH.",210,34,,0.7757,4,,,,,,,,
N85,Payments,Medium,"I need a recurring billing system for my gym chain. Monthly membership €45, annual €480, family plan €120/month. Members can pause up to 2 months per year. Failed payment retries with SMS notification.",201,33,,0.8972,5,,,,,,,,
N86,Payments,Medium,I want to hedge my BTC holdings against downside. I hold 2 BTC and can tolerate a max 20% loss. Set up protective puts on a regulated derivatives exchange. Auto-roll monthly if still in position.,195,35,,0.7757,5,,,,,,,,
N87,Payments,Medium,"I need an automated wire transfer rule: every Friday at 17:00 UTC, move any balance above €10,000 from my business account to my savings account, leaving exactly €5,000 in the business account.",193,32,,0.8785,4,,,,,,,,
N88,Payments,Medium,"I want to manage liquidity across three stablecoin pools on Uniswap V3 (USDC/USDT, USDC/DAI, USDT/DAI). Rebalance daily to maintain equal allocation. Target 0.05% fee tier. Auto-compound earned fees.",199,28,,0.8037,4,,,,,,,,
N89,Payments,Medium,I need to build a charity donation platform. Accept credit card and crypto (BTC + ETH). Generate tax receipts automatically. Donors can set up recurring monthly donations. Funds disbursed quarterly to partner NGOs after board approval.,235,36,,0.7944,3,,,,,,,,
N90,Payments,Detailed,"Configure a fixed-income automated strategy for my $200k portfolio. Allocation: 60% US T-bills (3-6 month, via TreasuryDirect API, auto-roll at maturity), 40% investment-grade corporate bond ETF (LQD). Quarterly rebalancing. No leverage. Auto-reinvest all dividends and coupon payments. Monthly PDF report for my accountant showing yield, duration, and unrealised P&L. Custodian: Schwab. Tax-optimised for US resident (long-term capital gains preference).",455,59,,0.8224,4,,,,,,,,
N91,Payments,Detailed,"I'm building a P2P lending platform for SMEs in Southeast Asia. Loan amounts $1,000–$50,000. Terms: 30/60/90 days. Repayment via local bank transfer or e-wallet (GCash Philippines, PromptPay Thailand). Platform fee: 2% origination + 1% monthly servicing. Credit scoring via bank statement API (Plaid equivalent for SEA). Investor dashboard: portfolio breakdown, expected returns, defaults. Registered in Singapore (MAS fintech sandbox). AML/KYC: Sumsub integration.",465,62,,0.7664,2,,,,,,,,
N92,Payments,Detailed,"Set up a forex trading bot for EUR/USD, GBP/USD, and USD/JPY. Strategy: 20/50 SMA crossover. Only trade London/New York overlap (13:00–17:00 UTC). Position size: 1% of account per trade ($150 on $15k account). Stop-loss: 30 pips, take-profit: 60 pips. Max 3 open positions simultaneously. Broker: OANDA API v20. No trading on major economic announcement days (NFP, CPI, central bank decisions). Telegram alert for every trade open/close.",437,66,,0.8505,3,,,,,,,,
N93,Payments,Detailed,"I need a crypto treasury management system for my startup. Holdings: BTC, ETH, USDC. Rules: maintain minimum 6-month runway in USDC (currently $180k). Auto-convert incoming ETH/BTC to USDC if their price drops below the 30-day moving average. All transactions above $50k require multi-sig approval (Gnosis Safe, 2-of-4 signers: CEO, CFO, and 2 board members). Monthly CFO report: unrealised P&L, runway estimate, BTC/ETH exposure. Integrate with accounting system (Xero).",471,68,,0.7944,2,,,,,,,,
N94,Payments,Detailed,"Build a statistical arbitrage bot across Binance, Kraken, and Coinbase Pro targeting BTC/USDT price discrepancies > 0.15%. Max capital deployed per arb: $5,000. Full round-trip must complete within 500ms. Risk controls: kill switch if 3 failed attempts in 5 minutes, max daily loss $2,000, Telegram alert on every execution. Infrastructure: co-location server AWS eu-west-1. Monitoring dashboard: real-time P&L, latency metrics, success rate. All trades logged to PostgreSQL.",475,67,,0.7944,2,,,,,,,,
N95,Payments,Detailed,"Configure global payments for my B2B SaaS. Customers in US, EU, Japan, Brazil. Pricing in USD with local currency display. Tax: US state sales tax via TaxJar, EU VAT via API, JCT for Japan (10%), ISS for Brazil (2-5%). Payment methods: card (Stripe), SEPA direct debit (EU), Pix (Brazil), Konbini (Japan). Invoices in local language and currency. Stripe Billing + Avalara for tax. Daily sync to NetSuite ERP. Dunning for failed payments: 3 retries, customer email each attempt, suspend after 14 days.",500,82,,0.8692,4,,,,,,,,
N96,Payments,Detailed,"Implement a DeFi yield optimisation strategy with 100 ETH total capital. Allocation: 40 ETH → Lido staking (auto-compound stETH), 30 ETH → Aave supply as collateral, borrow 50% LTV in USDC, deploy USDC to Curve 3pool. 30 ETH reserve (no deployment). Rebalancing triggers: Aave LTV > 65% (deleverage), Lido APR drops > 2pp vs. 30-day avg (reduce allocation), Curve APY < 4% for 7 days (exit Curve). Daily report: yield breakdown, LTV, estimated APY. Emergency exit: full derisking within 4h if ETH drops >25% in 24h. Alerts via Telegram.",536,89,,0.8505,4,,,,,,,,
N97,Payments,Detailed,"I need an automated payroll system for my startup (25 employees, 8 countries: FR, UK, DE, US, SG, BR, IN, CA). Monthly pay cycle, processed on last local business day. Deductions: local pension contributions, income tax withholding, health insurance (country-specific rules). Employer tax filing automated where APIs exist. Integration: Rippling for HR headcount, Wise Business for international bank transfers. CFO approval gate for any batch > $50,000. Full audit trail, GDPR compliant. Employee payslips generated in local language.",535,78,,0.8972,2,,,,,,,,
N98,Payments,Detailed,"Configure a risk-managed crypto portfolio rebalancing system. Portfolio: $500k. Target allocation: BTC 35%, ETH 25%, SOL 10%, USDC 30%. Trigger rebalance if any asset drifts > 5% from target. Max single rebalance trade: $20,000. Slippage tolerance 0.2%. No trades during UTC 00:00–04:00. TWAP execution over 2 hours for trades > $10,000. Exchanges: Coinbase Pro and Kraken only (no Binance — compliance requirement). All rebalances logged to Airtable with timestamp, asset, quantity, price, and trigger reason. Monthly email report to investment committee.",556,81,,0.8224,3,,,,,,,,
N99,Payments,Detailed,"I'm building payment infrastructure for a Web3 gaming platform. Players buy in-game currency (GOLD): 1 USD = 100 GOLD, 1 ETH = 300,000 GOLD (live price + 5% spread). Players can cash out GOLD to ETH only (not USD), minimum 10,000 GOLD per withdrawal. AML controls: max $10,000/month per user, mandatory KYC (Onfido) above $1,000 lifetime spend. Smart contract on Polygon (upgradeable proxy). Backend: AWS. Regulatory framework: MiCA compliant (EU). Reserve fund: 100% of outstanding GOLD backed by ETH in multi-sig custody.",523,82,,0.7757,1,,,,,,,,
P36,Payments,Ultra-vague,I want to start trading crypto. Don't go crazy with the spending.,65,12,,0.8785,5,,,,,,,,
P37,Payments,Ultra-vague,I need to accept payments on my website.,40,8,,0.8505,5,,,,,,,,
P38,Payments,Ultra-vague,Set up my Binance account to do some automated trading. Keep the risk low.,74,14,,0.8411,4,,,,,,,,
P39,Payments,Ultra-vague,I want to stake some ETH and maybe provide liquidity somewhere. Make sure I don't lose too much.,96,18,,0.8972,3,,,,,,,,
P40,Payments,Ultra-vague,Create a trading bot that buys when things look good and sells when they go down.,81,16,,0.8505,5,,,,,,,,
P41,Payments,Medium,"I want to set up an automated trading account for Bitcoin and Ethereum only. My total portfolio is $10,000. Don't invest more than 20% in a single trade. Stop trading for the day if I'm down more than $500.",206,39,,0.7757,3,,,,,,,,
P42,Payments,Medium,"I'm building an online marketplace and need to handle payments. Sellers should receive their cut automatically after a 7-day holding period. I need to support card payments and maybe PayPal. I'm based in France, so VAT needs to be handled correctly.",249,41,,0.8505,6,,,,,,,,
P43,Payments,Medium,"I have a crypto portfolio with BTC, ETH, and some altcoins. I want to set rules: never more than 40% in altcoins, rebalance monthly, and if BTC drops more than 15% in a week, reduce all positions by half. Also, never sell during a weekend.",239,45,,0.8318,5,,,,,,,,
P44,Payments,Detailed,"I want an AI trading agent for the Nasdaq. It should use momentum strategies, only trade liquid large-caps (top 100 by volume), never hold overnight, and limit daily losses to 2% of portfolio value. Risk level: medium. I'm in the US, so pattern day trader rules apply.",268,47,,0.8318,3,,,,,,,,
P45,Payments,Medium,"I'm building a platform for freelancers to get paid internationally. Most of my users are in Southeast Asia getting paid by US and EU clients. I need to support USD, EUR, and local currencies, handle FX conversion, and keep fees under 2%. Wire transfers and local bank deposits both needed.",290,50,,0.8505,5,,,,,,,,
P46,Payments,Detailed,"I want to interact with Uniswap and Aave automatically. On Uniswap, I'll provide liquidity to the ETH/USDC pool and auto-compound rewards. On Aave, I want to supply ETH as collateral and borrow USDC up to 50% LTV. Set a liquidation alert at 65% LTV. Total capital: 5 ETH.",271,48,,0.8037,4,,,,,,,,
P47,Payments,Medium,"I'm launching a SaaS and need subscription billing. Plans are €9/month (basic), €29/month (pro), and €99/month (team, up to 10 seats). I want annual billing with a 20% discount, automatic dunning for failed payments, and a 14-day free trial. I'm using Stripe.",259,42,,0.8505,6,,,,,,,,
P48,Payments,Detailed,"I want to configure a multi-exchange automated trading system. Exchanges: Binance (spot) and Coinbase Pro (spot only, no margin). Assets: BTC, ETH, SOL only. Max per-trade size: 5% of portfolio. Daily loss limit: 3% of total portfolio — if hit, all trading stops until manual reset. Weekly drawdown limit: 8%. No trading between 23:00 and 06:00 UTC. Minimum 4 hours between trades on the same asset. Never trade within 30 minutes of a major economic announcement (use economic calendar API). Slippage tolerance: max 0.3%. All trades must log to a Google Sheet in real time.",573,95,,0.8037,1,,,,,,,,
P49,Payments,Detailed,"I want to build a small crypto exchange for European users. I need to support BTC, ETH, and a few stablecoins (USDC, USDT). I need KYC/AML compliance for EU regulations, a matching engine, a wallet system with hot/cold split, and fiat onramps via SEPA bank transfer. Security: 2FA, withdrawal email confirmation, and IP whitelisting. I want to start with a limited beta of 500 users.",383,65,,0.8972,3,,,,,,,,
P50,Payments,Ultra-vague,I want an AI to manage my investments. Keep it safe but make it grow. I don't want to check it every day. Just don't do anything stupid.,136,28,,0.8692,4,,,,,,,,
